"","Combined Axis 1","Combined Axis 2","Locomotion Axis 1","Locomotion Axis 2","Reproduction Axis 1","Reproduction Axis 2","Diet Axis 1","Diet Axis 2"
"Eigenvalue",121.453,52.453,162.083,37.634,858.833,389.284,63.733,21.144
"%Variance",41.788,18.047,76.231,17.7,41.616,18.863,64.278,21.325
"%Cumulative",41.788,59.835,76.231,93.931,41.616,60.479,64.278,85.603
"Tarsus.Length",0.014,-0.008,0.771,0.485,NA,NA,NA,NA
"Wing.Length",0.931,-0.269,0.991,-0.03,NA,NA,NA,NA
"Kipps.Distance",0.777,-0.213,0.842,-0.536,NA,NA,NA,NA
"Secondary1",0.803,0.017,0.914,0.347,NA,NA,NA,NA
"Hand.Wing.Index",0.767,-0.063,0.426,-0.901,NA,NA,NA,NA
"Tail.Length",-0.533,0.415,0.808,0.208,NA,NA,NA,NA
"Mass",0.724,-0.401,0.962,0.155,NA,NA,NA,NA
"adult_svl_cm",0.965,-0.195,0.975,0.14,NA,NA,NA,NA
"litter_or_clutch_size_n",0.833,-0.011,NA,NA,NA,NA,-0.032,0.997
"egg_mass_g",0.881,-0.275,NA,NA,NA,NA,0.976,0.058
"incubation_d",0.436,0.185,NA,NA,NA,NA,0.883,-0.09
"longevity_y",0.767,-0.178,NA,NA,NA,NA,0.807,-0.094
"fledging_age_d",0.955,-0.182,NA,NA,NA,NA,0.828,-0.042
"litters_or_clutches_per_y",0.958,-0.198,NA,NA,NA,NA,-0.642,-0.135
"Diet.Inv",-0.537,-0.789,NA,NA,-0.946,-0.162,NA,NA
"Diet.Vend",0.342,-0.087,NA,NA,0.092,0.129,NA,NA
"Diet.Vect",0.276,-0.19,NA,NA,-0.028,0.068,NA,NA
"Diet.Vfish",0.334,-0.143,NA,NA,0.018,0.116,NA,NA
"Diet.Vunk",0.083,-0.041,NA,NA,0.003,0.01,NA,NA
"Diet.Scav",0.227,-0.055,NA,NA,0.052,0.06,NA,NA
"Diet.Fruit",0.235,0.588,NA,NA,0.667,-0.697,NA,NA
"Diet.Nect",-0.189,0.419,NA,NA,0.213,0.154,NA,NA
"Diet.Seed",0.048,0.417,NA,NA,0.397,0.657,NA,NA
"Diet.PlantO",0.321,0.161,NA,NA,0.297,0.271,NA,NA
