species,iucn,FSp,FUn,FUSE_no,FUSE_median,FUSE_mean,FUSE_sd,FUSE_q025,FUSE_q975,rank,perc
Abeillia_abeillei,LC,0.866048672064598,8.667072764566373e-14,0.8660486720646847,0.0428281387044899,0.045576579325210115,0.02290379646912933,0.008049390935269825,0.07265486822111529,1,0.21133167907361455
Abroscopus_albogularis,LC,0.13918054942181754,2.107557071426522e-12,0.1391805494239251,0.006660937885075491,0.00678665334142963,0.004461135723079544,7.273214510239742e-4,0.012381221910564264,2,0.7362834298318169
Abroscopus_schisticeps,LC,0.13918054942258193,2.134009097247175e-12,0.13918054942471594,0.00840811236718954,0.007983201999794479,0.003245434539095976,0.0023309769836170587,0.012566263402918117,3,0.6311000827129859
Abroscopus_superciliaris,LC,0.13918054942172203,4.609456890515229e-13,0.13918054942218297,0.007582016042379503,0.006974970251578748,0.004235735338669792,8.83190252864642e-4,0.012291773121417871,4,0.6742486903777226
Aburria_aburri,LC,0.8076329481642981,1.057738001622697e-12,0.8076329481653558,0.02370919495013887,0.025665722342550757,0.0158975631285665,0.010512390291784825,0.05648495193212463,5,0.40584505100634133
Acanthagenys_rufogularis,LC,0.2533707111928892,0.4583676974291723,0.7117384086220615,0.0268407899593699,0.028240087324766468,0.01999028044449382,0.004189072033923355,0.05655377470879412,6,0.37427626137303555
Acanthisitta_chloris,LC,0.0906990715051898,2.8327218956798845e-13,0.09069907150547307,0.004715894271172447,0.004688725328153357,0.0022049111646934684,0.0011480154686564427,0.00688792554800065,7,0.8611800385993934
Acanthiza_apicalis,LC,0.02870729067038183,2.559599183808659e-13,0.028707290670637788,0.0011483688471330355,0.0011400557754955366,6.914538637281812e-4,6.876051083886655e-5,0.001998571885623618,8,0.9870416322029225
Acanthiza_chrysorrhoa,LC,0.09967527894382136,4.464933115714975e-13,0.09967527894426785,0.005131705702023509,0.005202480728612748,0.003023397536683544,0.001111441555315969,0.008956081785391364,9,0.8377446925834022
Acanthiza_ewingii,LC,0.09967527894382101,1.3863210249379938e-13,0.09967527894395964,0.003773169889511385,0.0038592526969947914,0.002216026577893443,9.515165996572533e-4,0.007010472486229265,10,0.9092914254204577
Acanthiza_inornata,LC,0.1428496179211982,9.477603558993414e-14,0.142849617921293,0.00725171697295785,0.007759973570030739,0.0035495469253481056,0.0025229492648045342,0.01256237770455051,11,0.6949269368624207
Acanthiza_iredalei,LC,0.09904856751162548,8.274134068354644e-14,0.09904856751170822,0.005246812295924868,0.005175670664470997,0.0030560521526732955,7.336900336241548e-4,0.008793324327576634,12,0.8305762338020403
Acanthiza_katherina,VU,0.13918054942172878,1.2656366026065483e-14,0.13918054942174143,0.02755781807528651,0.029662890681800808,0.007811930111675002,0.021819823179587132,0.04378283813922625,13,0.3673835125448029
Acanthiza_lineata,LC,0.13129358604329908,0.3161454303087865,0.4474390163520856,0.029100114728678867,0.02940053668470001,0.006719475323932279,0.018993330015675484,0.03941395934096985,14,0.35153019023986765
