species,iucn,FSp,FUn,FUSE_no,FUSE_median,FUSE_mean,FUSE_sd,FUSE_q025,FUSE_q975,rank,perc
Abeillia_abeillei,LC,0.1136183626918099,0.015629626887640344,0.12924798957945025,0.006509284487350112,0.006965956062998264,0.0035423377633323812,0.00120958285538227,0.011183910681851796,1,0.7335263303005238
Abroscopus_albogularis,LC,0.17241572976477204,0.03518534962341774,0.20760107938818978,0.009919013930399958,0.010099651071942252,0.006632142897241077,0.0010846355006583876,0.018412028287994476,2,0.4862145023435346
Abroscopus_schisticeps,LC,0.20251412041571043,0.04288952079500911,0.24540364121071953,0.014777974212546546,0.014027156260240247,0.005690955527954752,0.004105941521878595,0.02205153661962632,3,0.3061759029500965
Abroscopus_superciliaris,LC,0.14138222275519036,0.02594250275974107,0.16732472551493144,0.0091080108019607,0.008377564355200528,0.005085474981624965,0.0010615567784195493,0.014759062105641665,4,0.5328094844223876
Aburria_aburri,LC,0.13568749591607743,0.04696950483150674,0.18265700074758418,0.005412832189908903,0.005882810072723186,0.0036936577640203465,0.002387208089829205,0.013069380788792575,5,0.830300523848911
Acanthagenys_rufogularis,LC,0.05913311034152148,0.0202481033900367,0.07938121373155818,0.0030297795024797954,0.0032076923487305937,0.00229017695194955,4.683038865819487e-4,0.006468658167526871,6,0.9757375241246209
Acanthisitta_chloris,LC,0.20888775195399562,0.11700577094306606,0.3258935228970617,0.016838418945587193,0.01672592055900671,0.007835920804636097,0.004116978472331839,0.024531273338065457,7,0.261373035566584
Acanthiza_apicalis,LC,0.10321733475801757,0.02274919743507079,0.12596653219308837,0.005029105787581435,0.004989718257499255,0.0030233683950012186,3.01569326946152e-4,0.008740104531469589,8,0.86255858836504
Acanthiza_chrysorrhoa,LC,0.11302547153321799,0.021396611912951558,0.13442208344616954,0.006914173358115405,0.007007805063364396,0.004070178909398791,0.0014985814168855076,0.012059383409334344,9,0.7001654259718776
Acanthiza_ewingii,LC,0.12157359624159433,0.022030530971313862,0.1436041272129082,0.005431467181163373,0.005553991075042,0.0031871468602845537,0.0013705747356663944,0.010084516452188512,10,0.8286462641301351
Acanthiza_inornata,LC,0.11054192258032203,0.022768884662941566,0.1333108072432636,0.006769134192341262,0.00724402282299747,0.00331425894506711,0.00235471022781102,0.011728423390851644,11,0.710780259167356
Acanthiza_iredalei,LC,0.0836549995666968,0.013107421198187946,0.09676242076488474,0.005126020425541567,0.005056606478272995,0.0029858569962018357,7.167628724667779e-4,0.008591234330226374,12,0.8544251447477254
Acanthiza_katherina,VU,0.10628137423658529,0.023248691622904216,0.1295300658594895,0.025671328616682608,0.027636002026587312,0.0072866394438641045,0.020322159276320157,0.04080844257175725,13,0.1588089330024814
Acanthiza_lineata,LC,0.08723757305263856,0.015938148876228887,0.10317572192886745,0.0067859108574140695,0.006860265522940677,0.0015845396396766272,0.004411990820685699,0.00922751336127432,14,0.7092638544251447
Acanthiza_murina,LC,0.11699715122487786,0.013145523658497462,0.13014267488337533,0.002949535219655685,0.003987346277826614,0.003240603264219223,3.101744095413956e-4,0.009913248920134343,15,0.9789081885856079
Acanthiza_nana,LC,0.09547710605012756,0.012351528038643537,0.1078286340887711,0.003918567751800009,0.003959194326454969,0.002156215029087958,0.0013614261463330956,0.007895784045593364,16,0.935070306038048
Acanthiza_pusilla,LC,0.0887185025822437,0.016335934948092802,0.1050544375303365,0.0038647268190577237,0.004326340859875121,0.0016139560422865809,0.0022709758242714065,0.007055165086182852,17,0.9379652605459057
Acanthiza_reguloides,LC,0.12703384001528711,0.03462825345874577,0.16166209347403288,0.009398333040453408,0.009137278270457159,0.0031722475276938457,0.0034177722737783857,0.013111608158546633,18,0.5121312379376896
