species,iucn,FSp,FUn,FUSE_no,FUSE_median,FUSE_mean,FUSE_sd,FUSE_q025,FUSE_q975,rank,perc
Abeillia_abeillei,LC,0.5300664767873822,0.0884397364195516,0.6185062132069338,0.03077272812254423,0.03280735006016837,0.016551214314511526,0.005761875777163902,0.052421309568027034,1,0.1974083264405845
Abroscopus_albogularis,LC,0.4095345340331627,0.042619285982239505,0.4521538200154022,0.021477084435194443,0.021818477274723507,0.014276140567483919,0.0023605112369041977,0.03967515631900441,2,0.3314033636614282
Abroscopus_schisticeps,LC,0.35308940512434994,0.06123009662552703,0.414319501749877,0.024824483000329623,0.0235528163891585,0.009525225728927243,0.006921317071235266,0.03695178180864861,3,0.26978218913702784
Abroscopus_superciliaris,LC,0.35923836755147753,0.05076314594864302,0.41000151350012054,0.022167308772930057,0.020364381065702375,0.012320006254892522,0.002596402173169798,0.035784590695982096,4,0.3169285911221395
Aburria_aburri,LC,0.5799601044663325,0.09682361658854187,0.6767837210548744,0.01990685124695743,0.021567041042844418,0.0133961495744577,0.00881670299461848,0.047556437471238416,5,0.36986490212296663
Acanthagenys_rufogularis,LC,0.04653945552358726,0.058469933623663026,0.10500938914725028,0.004005971600109025,0.0042400980617222596,0.0030262039591446212,6.194368192201825e-4,0.008548138174843319,6,0.9576785221946512
Acanthisitta_chloris,LC,0.40848772478934026,0.1027654302828239,0.5112531550721642,0.026286129955457024,0.026091996916933112,0.0121880925799454,0.006448785575005445,0.03822014371184192,7,0.2471739729804246
Acanthiza_apicalis,LC,0.3341831799269607,0.020316781357252064,0.3544999612842128,0.014088254647725423,0.01395863595351848,0.008438736364978551,8.477034698617713e-4,0.024404210783627457,8,0.5511441963054866
Acanthiza_chrysorrhoa,LC,0.306065561560474,0.04455397481720344,0.3506195363776774,0.017930933709781507,0.018146400289886126,0.01050171022522925,0.003903822222553098,0.031154640277185383,9,0.42031982354563
Acanthiza_ewingii,LC,0.31457906059677326,0.05300216076449012,0.36758122136126337,0.01384306351183601,0.014137521111344645,0.0080868620119442,0.0035044101111839526,0.0256120093354838,10,0.5606561896884478
Acanthiza_inornata,LC,0.38274787207361,0.04159682081236591,0.4243446928859759,0.021388083380346697,0.022845571286160517,0.010384227792559984,0.007472961344052689,0.03686472548823755,11,0.333057623380204
Acanthiza_iredalei,LC,0.36047763374281955,0.031639404565033655,0.3921170383078532,0.020611805539346006,0.020287030808429037,0.011923988428684553,0.0029008317786261145,0.03436744456681891,12,0.35056520540391506
Acanthiza_katherina,VU,0.32117681360002764,0.04077155779036562,0.36194837139039326,0.07014389102871382,0.07528145478868464,0.019315599684058493,0.0557817071525928,0.11008098517782353,13,0.09015715467328371
