K,trait,Mean,SD
0,adult_svl_cm,0.162,0.012
0,fledging_age_d,0.13,0.016
0,incubation_d,0.139,0.021
0,litter_or_clutch_size_n,0.199,0.015
0,litters_or_clutches_per_y,0.117,0.02
0,longevity_y,0.2,0.018
5,adult_svl_cm,0.104,0.01
5,fledging_age_d,0.076,0.009
5,incubation_d,0.079,0.011
5,litter_or_clutch_size_n,0.101,0.008
5,litters_or_clutches_per_y,0.103,0.016
5,longevity_y,0.166,0.011
10,adult_svl_cm,0.101,0.009
10,fledging_age_d,0.075,0.009
10,incubation_d,0.077,0.011
10,litter_or_clutch_size_n,0.104,0.009
10,litters_or_clutches_per_y,0.107,0.015
10,longevity_y,0.161,0.009
50,adult_svl_cm,0.102,0.01
50,fledging_age_d,0.076,0.007
50,incubation_d,0.076,0.01
50,litter_or_clutch_size_n,0.101,0.01
50,litters_or_clutches_per_y,0.108,0.018
50,longevity_y,0.159,0.013
100,adult_svl_cm,0.106,0.01
100,fledging_age_d,0.081,0.009
100,incubation_d,0.079,0.015
100,litter_or_clutch_size_n,0.103,0.01
100,litters_or_clutches_per_y,0.105,0.015
100,longevity_y,0.163,0.016
