"","species","family","order","morpho_FSp","morpho_FUn","morpho_FUSE","morpho_FDis","lifehistory_FSp","lifehistory_FUn","lifehistory_FUSE","lifehistory_FDis","diet_FSp","diet_FUn","diet_FUSE","diet_FDis","aggregated_FSp","aggregated_FUn","aggregated_FUSE","aggregated_FDis"
"1","Abeillia_abeillei","Trochilidae","Apodiformes",0.530066476787382,0.0884397364195516,0.0328073500601684,0.618506213206934,0.11361836269181,0.0156296268876403,0.00696595606299826,0.12924798957945,0.866048672064598,8.66707276456637e-14,0.0455765793252101,0.866048672064685,0.556804013909266,0.0545609098256282,0.0324359971188925,0.611364923734894
"2","Abroscopus_albogularis","Sylviidae","Passeriformes",0.409534534033163,0.0426192859822395,0.0218184772747235,0.452153820015402,0.172415729764772,0.0351853496234177,0.0100996510719423,0.20760107938819,0.139180549421818,2.10755707142652e-12,0.00678665334142963,0.139180549423925,0.288967916432999,0.102263062515703,0.0189167988131604,0.391230978948702
"3","Abroscopus_schisticeps","Sylviidae","Passeriformes",0.35308940512435,0.061230096625527,0.0235528163891585,0.414319501749877,0.20251412041571,0.0428895207950091,0.0140271562602402,0.24540364121072,0.139180549422582,2.13400909724717e-12,0.00798320199979448,0.139180549424716,0.253896234412579,0.0868899824387073,0.0194188313344226,0.340786216851286
"4","Abroscopus_superciliaris","Sylviidae","Passeriformes",0.359238367551478,0.050763145948643,0.0203643810657024,0.410001513500121,0.14138222275519,0.0259425027597411,0.00837756435520053,0.167324725514931,0.139180549421722,4.60945689051523e-13,0.00697497025157875,0.139180549422183,0.245698589759422,0.0687263933375373,0.0156662033333993,0.31442498309696
"5","Aburria_aburri","Cracidae","Galliformes",0.579960104466333,0.0968236165885419,0.0215670410428444,0.676783721054874,0.135687495916077,0.0469695048315067,0.00588281007272319,0.182657000747584,0.807632948164298,1.0577380016227e-12,0.0256657223425508,0.807632948165356,0.572626700815763,0.19861469642533,0.0245280539205295,0.771241397241093
"6","Acanthagenys_rufogularis","Meliphagidae","Passeriformes",0.0465394555235873,0.058469933623663,0.00424009806172226,0.10500938914725,0.0591331103415215,0.0202481033900367,0.00320769234873059,0.0793812137315582,0.253370711192889,0.458367697429172,0.0282400873247665,0.711738408622062,0.0991813524744218,0.319929669987264,0.0167690024716365,0.419111022461686
"7","Acanthisitta_chloris","Acanthisittidae","Passeriformes",0.40848772478934,0.102765430282824,0.0260919969169331,0.511253155072164,0.208887751953996,0.117005770943066,0.0167259205590067,0.325893522897062,0.0906990715051898,2.83272189567988e-13,0.00468872532815336,0.0906990715054731,0.286672615576203,0.266749405264543,0.0282082133764715,0.553422020840746
"8","Acanthiza_apicalis","Acanthizidae","Passeriformes",0.334183179926961,0.0203167813572521,0.0139586359535185,0.354499961284213,0.103217334758018,0.0227491974350708,0.00498971825749926,0.125966532193088,0.0287072906703818,2.55959918380866e-13,0.00114005577549554,0.0287072906706378,0.197873327092164,0.138299216452367,0.013243292545208,0.33617254354453
"9","Acanthiza_chrysorrhoa","Acanthizidae","Passeriformes",0.306065561560474,0.0445539748172034,0.0181464002898861,0.350619536377677,0.113025471533218,0.0213966119129516,0.0070078050633644,0.13442208344617,0.0996752789438214,4.46493311571497e-13,0.00520248072861275,0.0996752789442679,0.193061997854266,0.119839544075092,0.0162147259995745,0.312901541929357
"10","Acanthiza_ewingii","Acanthizidae","Passeriformes",0.314579060596773,0.0530021607644901,0.0141375211113446,0.367581221361263,0.121573596241594,0.0220305309713139,0.005553991075042,0.143604127212908,0.099675278943821,1.38632102493799e-13,0.00385925269699479,0.0996752789439596,0.2007105131894,0.136833561635371,0.0129919154511912,0.33754407482477
