"space","n_traits","iteration","proc_stat","mantel_r"
"LMD",13,1,0.868964339986659,0.888583779978783
"LMD",13,2,0.91669620745391,0.930051314009387
"LMD",14,1,0.981319000543985,0.975359003177694
"LMD",14,2,0.893334886864914,0.921784009249121
"LMD",15,1,0.964334580160635,0.976560520524661
"LMD",15,2,0.952482513871834,0.951491039726112
"LMD",16,1,0.89564314683506,0.895637977815793
"LMD",16,2,0.907848547830468,0.886063886812394
"LMD",17,1,0.974590345304795,0.981027694667681
"LMD",17,2,0.960443489312296,0.976084553265991
"LMD",18,1,0.968525473230787,0.972324746532089
"LMD",18,2,0.968954902190823,0.985922043489865
"LMD",19,1,0.917953586181439,0.923291883177578
"LMD",19,2,0.988965074763921,0.994513507451503
"LMD",20,1,0.988938468532835,0.996548993410886
"LMD",20,2,0.992772738991911,0.997885968824874
"LMD",21,1,0.999999544485077,0.999997819392261
"LMD",21,2,0.997187970814996,0.999230391178528
"LMD",22,1,1,1
"LMD",22,2,1,1
"LMD",5,1,0.763803333859021,0.850008895090917
"LMD",5,2,0.769117296030637,0.798457310013126
"LMD",5,3,0.764712345689755,0.83244819604917
"LMD",5,4,0.676596563388683,0.667083981125138
"LMD",5,5,0.756722083911448,0.790326365648507
"LMD",5,6,0.737240761411377,0.825230663940574
"LMD",5,7,0.836597192873173,0.805467444538416
"LMD",5,8,0.823692577449832,0.856183883329561
"LMD",5,9,0.778510267934134,0.851254163424212
"LMD",5,10,0.764002249693648,0.772021396167019
"LMD",5,11,0.79494302499759,0.838304075805097
"LMD",5,12,0.786426808946434,0.791481387397791
"LMD",5,13,0.780973584642448,0.793013654901506
"LMD",5,14,0.763689183545267,0.811596540045514
"LMD",5,15,0.783304235038363,0.793843009017745
"LMD",5,16,0.817862969729509,0.856437063867256
"LMD",5,17,0.748911265131294,0.804022419831002
"LMD",5,18,0.741689082748746,0.708640101556942
"LMD",5,19,0.842430902011717,0.735845680862544
"LMD",5,20,0.805402037344584,0.788340379109187
"LMD",6,1,0.825037442943361,0.866978775670727
"LMD",6,2,0.822331112160564,0.825676626081344
"LMD",6,3,0.779867839376937,0.820048942971012
"LMD",6,4,0.815405648548526,0.711762174681369
"LMD",6,5,0.777785667662968,0.817169850699158
"LMD",6,6,0.806158629267036,0.857362776241541
"LMD",6,7,0.80109885409044,0.858727804340441
"LMD",6,8,0.801740418292618,0.8401655291861
"LMD",6,9,0.823074526208618,0.860908209718607
"LMD",6,10,0.796582701659876,0.804306267835058
"LMD",6,11,0.7987405531859,0.825819523559609
"LMD",6,12,0.850102780148032,0.876278081005921
"LMD",6,13,0.801195915875134,0.840195643398833
"LMD",6,14,0.851185478989715,0.870065680998644
"LMD",6,15,0.690733877697094,0.792299540176331
"LMD",6,16,0.768261977561866,0.793724004941323
"LMD",6,17,0.832937424558607,0.853794396060409
"LMD",6,18,0.750943319699114,0.840699503213939
"LMD",6,19,0.774162681270316,0.834590932741166
"LMD",6,20,0.823505588685012,0.845460014460855
"LMD",7,1,0.849929979150929,0.897134998685006
"LMD",7,2,0.833086372109372,0.896669846653986
"LMD",7,3,0.839270104420232,0.864996685514012
"LMD",7,4,0.766519019187569,0.703652260515692
"LMD",7,5,0.849377113796184,0.877561659016177
"LMD",7,6,0.802354104835982,0.871888980459109
"LMD",7,7,0.877959513590215,0.89039090444358
"LMD",7,8,0.797798247676349,0.806346281290041
"LMD",7,9,0.841906989921542,0.873952082983356
"LMD",7,10,0.798299207174877,0.839856453260101
"LMD",7,11,0.819510765993351,0.882015288780642
"LMD",7,12,0.803402257833693,0.740893132388695
"LMD",7,13,0.774638374675736,0.853199721109168
"LMD",7,14,0.79381911274675,0.768715839948293
"LMD",7,15,0.826953781755851,0.844667485096443
"LMD",7,16,0.756658421305335,0.854420030527388
"LMD",7,17,0.843203737773462,0.841905265695427
"LMD",7,18,0.786050372295714,0.836810892238156
"LMD",7,19,0.837738436868835,0.903110819306423
"LMD",7,20,0.863372808584109,0.828155072304371
"LMD",8,1,0.850519459042889,0.857906932796459
"LMD",8,2,0.881022207052838,0.865633154087702
"LMD",8,3,0.861849480564328,0.83437631485514
"LMD",8,4,0.807189056031469,0.861367569982379
"LMD",8,5,0.825655729548096,0.879836109692609
"LMD",8,6,0.854383283655738,0.831942909417491
"LMD",8,7,0.851665020091664,0.872351950372064
"LMD",8,8,0.854812960132038,0.891724861101754
"LMD",8,9,0.868981972189177,0.898836958476629
"LMD",8,10,0.888364258479855,0.866751905224576
"LMD",8,11,0.857464583978595,0.824726451309673
"LMD",8,12,0.872121236634843,0.871033879338055
"LMD",8,13,0.785064737816466,0.862094893335065
"LMD",8,14,0.842219279075563,0.847154315235939
"LMD",8,15,0.89860904599578,0.848948518784766
"LMD",8,16,0.856571119179478,0.845479070321194
"LMD",8,17,0.782330132221256,0.843941949430945
"LMD",8,18,0.862628731432967,0.826662888427121
"LMD",8,19,0.886978814195472,0.800942314066935
"LMD",8,20,0.82541848415541,0.749730650655233
"LMD",9,1,0.894509848986519,0.88310075483089
"LMD",9,2,0.851238048927365,0.881944835976692
"LMD",9,3,0.882780147838949,0.868285708382176
"LMD",9,4,0.870535696137894,0.888157852115801
"LMD",9,5,0.879348917555231,0.876700419308242
"LMD",9,6,0.845502981880999,0.845774203989877
"LMD",9,7,0.894130152140534,0.820718690430734
"LMD",9,8,0.859751621426031,0.837262112989442
"LMD",9,9,0.823019240748077,0.841827978527993
"LMD",9,10,0.813770912162942,0.876876162209451
"LMD",9,11,0.807264922301892,0.854924253540222
"LMD",9,12,0.828174389869379,0.85676569611743
"LMD",9,13,0.815441401982862,0.79580660667814
"LMD",9,14,0.899583244104058,0.902241492643034
"LMD",9,15,0.858837402158106,0.874065550768309
"LMD",9,16,0.842028579107897,0.874023436016882
"LMD",9,17,0.876480272669005,0.889331988393987
"LMD",9,18,0.851656000633408,0.850461035431821
"LMD",9,19,0.926519497088653,0.915184582070369
"LMD",9,20,0.803243941812754,0.803559202082305
"LMD",10,1,0.823801365880987,0.8348168953063
"LMD",10,2,0.804729719429032,0.75102148175595
"LMD",10,3,0.845826884573125,0.787290329671192
"LMD",10,4,0.731414357840311,0.771263651208448
"LMD",10,5,0.850053016547333,0.824874022361644
"LMD",10,6,0.882636877675124,0.883756159708443
"LMD",10,7,0.882255162063726,0.877625304724426
"LMD",10,8,0.878240931626682,0.889688902188161
"LMD",10,9,0.847304861965647,0.874146332889228
"LMD",10,10,0.808919278880583,0.829918181362739
"LMD",10,11,0.867538631655876,0.878367244660352
"LMD",10,12,0.868203895662122,0.834389774604729
"LMD",10,13,0.853077481808486,0.903939462563777
"LMD",10,14,0.875383634495735,0.884446601179088
"LMD",10,15,0.87075041927512,0.883865945495208
"LMD",10,16,0.881370157750614,0.89464972158871
"LMD",10,17,0.867121667061593,0.832262397983883
"LMD",10,18,0.795208748933212,0.838897822342517
"LMD",10,19,0.900340973735739,0.894698441847929
"LMD",10,20,0.873817303386654,0.910584910897905
"LMD",11,1,0.896729077988157,0.883970123997271
"LMD",11,2,0.906602895698206,0.894689026196833
"LMD",11,3,0.878783318521205,0.896166677402332
"LMD",11,4,0.895836133195367,0.895634560355321
"LMD",11,5,0.864906434928114,0.900800566678255
"LMD",11,6,0.891998958410007,0.91879401728482
"LMD",11,7,0.849825653767824,0.843285357426227
"LMD",11,8,0.878036425905209,0.891070078857307
"LMD",11,9,0.889742800294239,0.90229645782907
"LMD",11,10,0.901184434831729,0.881147786383363
"LMD",11,11,0.876209322073337,0.916633269232129
"LMD",11,12,0.901238907672225,0.905360382994067
"LMD",11,13,0.87507288365821,0.899366764006788
"LMD",11,14,0.900422255327924,0.898643971604805
"LMD",11,15,0.893170265545137,0.882141279369773
"LMD",11,16,0.855235710092216,0.823141424372065
"LMD",11,17,0.840250662931475,0.891445641868299
"LMD",11,18,0.832132649032636,0.828792971637728
"LMD",11,19,0.914960251463091,0.91757951030337
"LMD",11,20,0.882102507398606,0.903129288699488
"LMD",12,1,0.87120876528863,0.876636588579868
"LMD",12,2,0.874205615463769,0.863214368619404
"LMD",12,3,0.956933772554456,0.953546629443246
