"","MLD.Axis 1","MLD.Axis 2","MLD.Axis 3","MLD.Axis 4","M.Axis 1","M.Axis 2","L.Axis 1","L.Axis 2","D.Axis 1","D.Axis 2","D.Axis 3","D.Axis 4"
"blc",0.812,-0.221,0.085,0.154,0.842,-0.091,NA,NA,NA,NA,NA,NA
"bln",0.744,-0.163,0.138,0.135,0.772,-0.058,NA,NA,NA,NA,NA,NA
"bwd",0.838,-0.125,-0.181,-0.094,0.853,-0.224,NA,NA,NA,NA,NA,NA
"bdp",0.861,-0.08,-0.189,-0.132,0.864,-0.26,NA,NA,NA,NA,NA,NA
"trl",0.732,-0.381,-0.296,-0.135,0.76,-0.415,NA,NA,NA,NA,NA,NA
"wl",0.961,-0.16,0.052,0.031,0.976,0.074,NA,NA,NA,NA,NA,NA
"kd",0.808,0.041,0.431,0.086,0.813,0.576,NA,NA,NA,NA,NA,NA
"s1",0.887,-0.263,-0.28,-0.057,0.911,-0.314,NA,NA,NA,NA,NA,NA
"hwl",0.386,0.24,0.691,0.117,0.378,0.919,NA,NA,NA,NA,NA,NA
"tll",0.78,-0.17,-0.169,0.067,0.808,-0.194,NA,NA,NA,NA,NA,NA
"bmA",0.954,-0.156,-0.092,-0.06,0.951,-0.115,NA,NA,NA,NA,NA,NA
"ls",0.025,-0.029,0.021,-0.548,NA,NA,0.013,-0.998,NA,NA,NA,NA
"bmL",0.954,-0.156,-0.092,-0.061,NA,NA,0.972,-0.046,NA,NA,NA,NA
"inc",0.754,-0.148,0.238,0.097,NA,NA,0.811,0.13,NA,NA,NA,NA
"lg",0.813,0.072,0.083,0.038,NA,NA,0.817,0.086,NA,NA,NA,NA
"fled",0.773,-0.034,0.284,0.114,NA,NA,0.805,0.11,NA,NA,NA,NA
"ly",-0.562,0.292,-0.163,0.031,NA,NA,-0.601,0.141,NA,NA,NA,NA
"svl",0.963,-0.17,-0.009,0.02,NA,NA,0.982,-0.017,NA,NA,NA,NA
"DI",-0.511,-0.81,-0.044,0.049,NA,NA,NA,NA,-0.95,-0.144,-0.123,0.114
"DVd",0.336,-0.056,0.134,0.022,NA,NA,NA,NA,0.101,0.13,0.229,-0.62
"DVt",0.297,-0.183,0.065,0.036,NA,NA,NA,NA,-0.026,0.068,0.143,-0.461
"DVf",0.355,-0.125,0.237,0.093,NA,NA,NA,NA,0.029,0.12,0.192,-0.478
"DVk",0.09,-0.042,0.004,0.011,NA,NA,NA,NA,0.001,0.004,0.021,-0.043
"DSv",0.237,-0.04,0.074,0.035,NA,NA,NA,NA,0.06,0.061,0.082,-0.182
"DF",0.205,0.548,-0.637,0.396,NA,NA,NA,NA,0.634,-0.729,-0.176,0.057
"DN",-0.192,0.436,0.598,0.377,NA,NA,NA,NA,0.231,0.182,0.784,0.518
"DSd",0.031,0.431,-0.005,-0.798,NA,NA,NA,NA,0.408,0.625,-0.565,0.216
"DP",0.309,0.194,0.049,-0.332,NA,NA,NA,NA,0.314,0.235,-0.1,-0.13
